"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4031","Auth with valid data","Registrartion test suite ","Mon Dec 15 18:56:44 UTC 2025","passed","Mon Dec 15 18:56:48 UTC 2025","","","",""
"","12500","Registration with valid data","Registrartion test suite ","Mon Dec 15 18:56:31 UTC 2025","passed","Mon Dec 15 18:56:44 UTC 2025","","","",""
"","6603","Auth with valid data","Registrartion test suite with valid data","Mon Dec 15 18:55:08 UTC 2025","passed","Mon Dec 15 18:55:15 UTC 2025","","","",""
"","3078","Auth with incorrect login","Registrartion test suite with no valid data","Mon Dec 15 18:54:49 UTC 2025","passed","Mon Dec 15 18:54:52 UTC 2025","","","",""
"","29","Example of visibility and how to use fixtures with different data","Registrartion test suite ","Mon Dec 15 18:56:48 UTC 2025","skipped","Mon Dec 15 18:56:48 UTC 2025","","","",""
"","2689","Auth with incorrect password","Registrartion test suite with no valid data","Mon Dec 15 18:54:56 UTC 2025","passed","Mon Dec 15 18:54:59 UTC 2025","","","",""
"","2553","Auth with empty login","Registrartion test suite with no valid data","Mon Dec 15 18:54:53 UTC 2025","passed","Mon Dec 15 18:54:56 UTC 2025","","","",""
"","11283","Place order using helper function to find a product by name","","Mon Dec 15 18:55:58 UTC 2025","passed","Mon Dec 15 18:56:09 UTC 2025","","","",""
"","2770","Auth with empty password","Registrartion test suite with no valid data","Mon Dec 15 18:55:00 UTC 2025","passed","Mon Dec 15 18:55:03 UTC 2025","","","",""
"","3673","Toast test for position bottom-left, and type success","","Mon Dec 15 18:55:51 UTC 2025","passed","Mon Dec 15 18:55:55 UTC 2025","","","",""
"","3100","Auth with incorrect password","Registrartion test suite with no valid data","Mon Dec 15 18:55:22 UTC 2025","passed","Mon Dec 15 18:55:25 UTC 2025","","","",""
"","7260","Auth with valid data","Registrartion test suite with valid data","Mon Dec 15 18:54:42 UTC 2025","passed","Mon Dec 15 18:54:49 UTC 2025","","","",""
"","8546","Toast test for position top-right, and type primary","","Mon Dec 15 18:55:43 UTC 2025","passed","Mon Dec 15 18:55:51 UTC 2025","","","",""
"","14627","Registration with valid data","","Mon Dec 15 18:56:12 UTC 2025","failed","Mon Dec 15 18:56:26 UTC 2025","","","",""
"","3293","Auth with empty password","Registrartion test suite with no valid data","Mon Dec 15 18:55:29 UTC 2025","passed","Mon Dec 15 18:55:32 UTC 2025","","","",""
"","2499","Auth with empty login","Registrartion test suite with no valid data","Mon Dec 15 18:55:19 UTC 2025","passed","Mon Dec 15 18:55:21 UTC 2025","","","",""
"","3048","Auth with incorrect login","Registrartion test suite with no valid data","Mon Dec 15 18:55:15 UTC 2025","passed","Mon Dec 15 18:55:18 UTC 2025","","","",""
